text,mood
Distractions everywhere,Distracted
Concentration keeps breaking,Distracted
Thoughts not on study,Distracted
Mind keeps switching topics,Distracted
Easily distracted by messages,Distracted
Thinking of unrelated stuff,Distracted
I am mentally elsewhere,Distracted
Lost focus while reading,Distracted
Cannot concentrate on homework,Distracted
Phone notifications distract me,Distracted
Mind wandering all the time,Distracted
Distracted by apps,Distracted
Attention keeps breaking,Distracted
I cannot stay focused,Distracted
Thoughts wandering while studying,Distracted
Distracted and unfocused,Distracted
I keep losing track of what I read,Distracted
My thoughts jump from one thing to another,Distracted
I cannot keep my attention steady,Distracted
I am easily diverted from studying,Distracted
I keep thinking about random things,Distracted
I am unable to stay mentally present,Distracted
My focus shifts frequently,Distracted
I get distracted very easily,Distracted
My mind keeps drifting away,Distracted
I am unable to maintain attention,Distracted
I keep interrupting my study session,Distracted
I struggle to stay focused,Distracted
I feel mentally scattered,Distracted
I keep zoning out,Distracted
I am distracted by small noises,Distracted

